Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000187118,CMC1,0.13586972713207698,-1.7708531986033118,0.0016033665848038665,0.49508862300264167,1.8432059534025287,0.0015703626147148416,0.2782038608810263,0.646943618947446,0.7398820841850123,0.0,-0.5514193905880642,1.0
ENSG00000163512,AZI2,0.10914125622084873,-0.38693821682024865,0.8428238267620252,0.1274485564165216,0.21142259592837886,1.0,0.3338446330572315,1.7109066776794113,0.41101311584004796,0.0,0.25436139597142926,1.0
ENSG00000206559,ZCWPW2,0.01559160803154982,-0.649972622654043,0.9674952424483532,0.019607470217926404,0.49270870631839525,1.0,0.05564077217620525,2.6214085268403085,0.6595789423616646,0.0,2.9658563026215177,1.0
ENSG00000163513,TGFBR2,1.0980946799362945,0.7950964669000582,0.550119853162157,0.4705792852302337,-1.2447215987685272,0.23539175030011206,2.670757064457852,1.4032283567907753,0.3486423999948659,0.0,-2.8555988164809407,1.0
ENSG00000261468,AC096921.2,0.0011136862879678442,-2.5568632182625617,0.6716899353178838,0.004901867554481601,1.5858181107098765,1.0,0.05564077217620525,5.284373539562738,0.33001171479606917,0.0,5.287784397508879,1.0
ENSG00000163527,STT3B,0.5134093787531762,-0.19696727317617835,0.9413002666262501,0.5244998283295312,-0.008022541357732393,1.0,1.4466600765813364,1.4694054333952584,0.3484928776886138,0.16198604081902682,-0.9289614606864262,1.0
ENSG00000144645,OSBPL10,0.012250549167646287,0.028099282458595276,1.0,0.009803735108963202,0.17078061143103263,1.0,0.0,2.0619811182262904,1.0,0.0,3.4804294754512757,1.0
ENSG00000152642,GPD1L,0.03118321606309964,-0.6988822231349889,0.7789125769051448,0.04901867554481601,0.7233216344598121,1.0,0.05564077217620525,1.5839338214216458,0.8305966105135846,0.0,1.9658563026215177,1.0
ENSG00000261572,AC097639.1,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000170293,CMTM8,0.09689070705320245,0.4875309010958926,0.8778988138396345,0.05882241065377921,-0.6365743106265711,1.0,0.16692231652861575,1.2254798505091693,0.6544859981182766,0.0,0.6012838703256613,1.0
ENSG00000153551,CMTM7,0.5468199673922115,0.41602493612019775,0.8435008342749861,0.37744380169508324,-0.5325018564788846,1.0,0.7233300382906682,0.5168196255631089,0.6906321077999235,0.4859581224570805,0.10290905460059574,1.0
ENSG00000091317,CMTM6,0.22273725759356885,-0.8754378780401135,0.2719644802193854,0.41665874213093607,0.889686234052248,0.3655334632872891,0.16692231652861575,-0.3155393026243898,1.0,0.809930204095134,1.697821215729357,1.0
ENSG00000144635,DYNC1LI1,0.09911807962913814,-0.8375996258298142,0.501274124233829,0.15195789418892963,0.5414239913514232,0.9587882620107214,0.445126177409642,2.1085237041633205,0.3177730347023207,0.16198604081902682,1.2765571420856259,1.0
ENSG00000182973,CNOT10,0.10245913849304167,-0.6026669078756859,0.6716899353178838,0.14215415907996642,0.44831458695994186,1.0,0.222563088704821,1.2370678247843814,0.585602065451995,0.32397208163805363,1.8954669747301194,1.0
ENSG00000183813,CCR4,0.00779580401577491,-3.61575690731613,0.003084048112010864,0.07352801331722401,2.0833177701806935,0.31399829948223634,0.5007669495858472,4.667702179114244,0.2811172035671995,0.0,2.2877843975088794,1.0
ENSG00000170266,GLB1,0.07238960871790988,-0.9719007175414047,0.391948381869225,0.14215415907996642,0.9691467502613826,0.5522669839482701,0.05564077217620525,0.2694231980967663,1.0,0.32397208163805363,2.2877843975088794,1.0
ENSG00000188167,TMPPE,0.0033410588639035325,-0.9719007175414056,0.9674952424483532,0.004901867554481601,1.1707806114310326,1.0,0.0,3.5474079453965324,1.0,0.0,4.965856302621518,1.0
ENSG00000170275,CRTAP,0.1937814141064049,-1.120602447896204,0.07961842082009765,0.4264624772398993,1.1066502740113173,0.1410891376889324,0.222563088704821,0.13056820348370257,0.965067656943966,0.809930204095134,1.8174644627288463,1.0
ENSG00000153558,FBXL2,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000153560,UBP1,0.0957770207652346,-0.283844723856145,0.9532585485578883,0.09803735108963202,0.023939223101761886,1.0,0.2782038608810263,1.6994110388415815,0.43709957090787455,0.16198604081902682,1.4804294754512757,1.0
ENSG00000163539,CLASP2,0.10468651106897736,-0.5313281261554237,0.7470196546125503,0.11764482130755842,0.100391283539635,1.0,0.5564077217620526,2.4339498956132477,0.2811172035671995,0.0,0.2765571420856259,1.0
ENSG00000170248,PDCD6IP,0.3029226703272536,-0.12707109006513817,1.0,0.30881765593234084,0.015962502378929155,1.0,0.6120484939382578,1.057693759823192,0.5086881235308747,0.16198604081902682,-0.15100745506938118,1.0
ENSG00000226320,LINC01811,0.0022273725759356885,-0.38693821682024954,1.0,0.0,0.5858181107098765,1.0,0.0,4.284373539562738,1.0,0.0,5.702821896787723,1.0
ENSG00000168016,TRANK1,0.13475604084410914,-0.7416030981196107,0.5741848863960993,0.19607470217926404,0.473050180547927,1.0,0.5564077217620526,1.9800395046901138,0.3263529822382962,0.16198604081902682,0.8615196428067815,1.0
ENSG00000178567,EPM2AIP1,0.09243596190133108,-0.8649855136248927,0.5579501778167647,0.12254668886204002,0.27130748738499744,1.0,0.667689266114463,2.788416044900327,0.2811172035671995,0.16198604081902682,1.3689211602342852,1.0
ENSG00000076242,MLH1,0.05457062811042437,-0.41550736901701946,0.9058299774036246,0.07352801331722401,0.49835526945953745,1.0,0.05564077217620525,0.8469682272554393,1.0,0.0,1.243390278150426,1.0
ENSG00000093167,LRRFIP2,0.08352647159758832,-0.8532562210427863,0.5497066795937859,0.10784108619859521,0.2349109488507488,1.0,0.445126177409642,2.366835699754711,0.3067574631295245,0.6479441632761073,2.8817920378330433,1.0
ENSG00000270194,AC097359.2,0.0,-2.9719007175414056,0.6716899353178838,0.004901867554481601,3.1707806114310326,0.8522563459037337,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000144674,GOLGA4,0.2539204736566685,-0.6718557405524923,0.6047273556874226,0.34803259636819367,0.37492132821125823,1.0,1.0571746713478998,1.9528593958461777,0.3110199796086701,0.32397208163805363,0.5553342844651667,1.0
ENSG00000198590,C3orf35,0.005568431439839221,-2.1942931388778524,0.41016195154123775,0.014705602663444802,1.0008556099887205,1.0,0.16692231652861575,4.699411038841582,0.2811172035671995,0.0,3.7028218967877233,1.0
ENSG00000235257,ITGA9-AS1,0.005568431439839221,0.6130617831797514,0.9674952424483532,0.0,-0.41418188929012345,1.0,0.0,3.284373539562738,1.0,0.0,4.702821896787723,1.0
ENSG00000144677,CTDSPL,0.010023176591710597,1.350027377345957,0.7207081093110425,0.0,-1.1511474834563291,1.0,0.0,2.5474079453965324,1.0,0.0,3.9658563026215177,1.0
ENSG00000136059,VILL,0.0957770207652346,-0.17281341146740115,1.0,0.09803735108963202,0.05530339401109696,1.0,0.222563088704821,1.4497971487701098,0.5292699153928702,0.0,0.4933685311587741,1.0
ENSG00000187091,PLCD1,0.07127592242994203,-0.9939270238714037,0.42066657345125785,0.14705602663444803,1.058887731360136,0.5014364319545735,0.1112815443524105,0.8844429326741023,0.832903497151321,0.0,0.687871555321752,1.0
ENSG00000008226,DLEC1,0.006682117727807065,0.835454204516199,0.976821900248441,0.0,-0.6365743106265711,1.0,0.0,3.0619811182262904,1.0,0.0,4.480429475451276,1.0
ENSG00000060971,ACAA1,0.321855337222707,0.09948391569536041,1.0,0.2794064506054512,-0.2048580702010967,1.0,0.5564077217620526,0.885824163072463,0.5739869881895049,0.16198604081902682,-0.19199586652021994,1.0
ENSG00000172936,MYD88,0.1614845117553374,-0.4545015006328832,0.7337256777027645,0.21568217239719042,0.4147061943171222,1.0,0.1112815443524105,-0.14561430118207763,1.0,0.6479441632761073,2.024749991675086,1.0
ENSG00000172939,OXSR1,0.07461698129384556,-0.9719007175414052,0.4431594145162843,0.10784108619859521,0.390561819310943,1.0,0.3894854052334368,2.314747188606257,0.3110199796086701,0.6479441632761073,3.0097996502091147,1.0
ENSG00000093217,XYLB,0.012250549167646287,0.028099282458595276,1.0,0.0,-1.636574310626571,0.9177338188549953,0.1112815443524105,3.8693360402838937,0.32632188863237943,0.0,3.4804294754512757,1.0
ENSG00000114739,ACVR2B,0.06904854985400634,0.6834511110711494,0.8229532678955387,0.034313072881371205,-0.8515872015974213,0.9880731647801589,0.1112815443524105,1.3250155240600834,0.7188812026981806,0.0,1.1178593960665673,1.0
ENSG00000157036,EXOG,0.06125274583823143,-0.8649855136248927,0.6716899353178838,0.08333174842618721,0.3407056128733452,1.0,0.445126177409642,2.849436482846189,0.2811172035671995,0.0,0.9479343946242551,1.0
ENSG00000183873,SCN5A,0.0,-2.9719007175414056,0.6716899353178838,0.004901867554481601,3.1707806114310326,0.8522563459037337,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000114742,WDR48,0.07461698129384556,-0.4079998323480787,0.8874420859152571,0.08333174842618721,0.15088105399332763,1.0,0.222563088704821,1.7649993804691588,0.4658569283933486,0.16198604081902682,1.8120509665424818,1.0
ENSG00000114745,GORASP1,0.03675164750293886,-0.34386949492836294,0.998201739349257,0.029411205326889605,-0.26979197995494886,1.0,0.16692231652861575,2.51178403566581,0.3710619805850759,0.16198604081902682,2.8615196428067815,1.0
ENSG00000168026,TTC21A,0.0022273725759356885,-1.9719007175414056,0.69776245133514,0.0,-0.1511474834563291,1.0,0.05564077217620525,4.869336040283894,0.3441925918251512,0.16198604081902682,6.287784397508879,0.7279552596517246
ENSG00000144655,CSRNP1,0.0779580401577491,-0.407116098757879,0.865960425505223,0.09313548353515042,0.2638900158225148,1.0,0.16692231652861575,1.3615414000851978,0.6132827354472388,0.16198604081902682,1.7486255864008484,1.0
ENSG00000284669,AC092053.3,0.0033410588639035325,-2.2938288124287673,0.4436857367544727,0.014705602663444802,1.8488525165436709,0.8522563459037337,0.05564077217620525,4.06198111822629,0.43273361643372754,0.0,4.287784397508879,1.0
ENSG00000283849,AC092053.2,0.006682117727807065,-0.164545795483801,1.0,0.004901867554481601,0.3634256893734289,1.0,0.0,2.869336040283894,1.0,0.0,4.287784397508879,1.0
ENSG00000168329,CX3CR1,0.0,-5.878791313149923,0.0006281985828681687,0.05882241065377921,4.286257828850969,0.015315490882629177,0.0,1.9624454446753763,1.0,0.32397208163805363,5.172307180088944,0.7238549527807076
ENSG00000287780,AC104850.2,0.0022273725759356885,-1.3869382168202495,0.9079154038508712,0.004901867554481601,1.5858181107098765,1.0,0.0,3.869336040283894,1.0,0.0,5.287784397508879,1.0
ENSG00000179934,CCR8,0.0011136862879678442,-2.9719007175414056,0.36761042923613063,0.014705602663444802,3.1707806114310326,0.4046014360176018,0.0,3.5474079453965324,1.0,0.0,4.965856302621518,1.0
ENSG00000144659,SLC25A38,0.21494145357779393,-0.22996887048184966,0.939278150607572,0.27450458305096964,0.3963403118461639,1.0,0.05564077217620525,-1.0964482443781929,1.0,0.0,-0.6837591564418921,1.0
ENSG00000168028,RPSA,13.130361335140883,0.23665055752573716,0.9605161498363509,12.088005389351627,-0.09631728126187866,1.0,1.8917862539909787,-2.805814510886653,1.0,8.099302040951342,-0.8426095113358376,1.0
ENSG00000280739,EIF1B-AS1,0.0378653337909067,-0.8426177005964379,0.6716899353178838,0.034313072881371205,-0.2554841432710653,1.0,0.445126177409642,3.6469436189474465,0.2811172035671995,0.0,1.643928207734155,1.0
ENSG00000114784,EIF1B,0.35081118070987094,0.04647781177344967,1.0,0.34803259636819367,0.009788734758728213,1.0,0.2782038608810263,-0.1456143011820774,1.0,0.16198604081902682,-0.3269254466063285,1.0
ENSG00000223797,ENTPD3-AS1,0.03452427492700317,-0.4313323361787029,0.9305741723234445,0.04901867554481601,0.6302122300683299,1.0,0.0,0.4770186175051343,1.0,0.0,1.8954669747301196,1.0
ENSG00000188846,RPL14,24.61580802295326,0.4384450864127176,0.7527254159920532,19.828054257878076,-0.28625024582952996,1.0,2.615116292281647,-3.2237513501603234,0.9767961160193672,10.529092653236743,-1.344880398844614,1.0
ENSG00000177873,ZNF619,0.017818980607485508,1.1155621237089344,0.7562542911375768,0.0,-1.9991443900112795,0.7555115323601901,0.05564077217620525,2.7818731990335546,0.625400591366976,0.0,3.1178593960665673,1.0
ENSG00000177842,ZNF620,0.0022273725759356885,-1.9719007175414056,0.6953460538918254,0.0,-0.1511474834563291,1.0,0.05564077217620525,4.869336040283894,0.3456467684134018,0.16198604081902682,6.287784397508879,0.7398640840367624
ENSG00000172888,ZNF621,0.03675164750293886,-1.1323653897346508,0.5843826185768853,0.053920543099297606,0.3981911075341049,1.0,0.3894854052334368,3.377482943954219,0.2811172035671995,0.0,1.5873446793677877,1.0
ENSG00000168036,CTNNB1,0.18709929637859782,-0.1857311253744287,0.9795529324891926,0.17156536440685602,-0.16708902732535114,1.0,0.6120484939382578,1.767798013821832,0.3456467684134018,0.32397208163805363,1.1245540486405756,1.0
ENSG00000168038,ULK4,0.03341058863903533,-0.9245950027630481,0.6563410454728849,0.053920543099297606,0.6682802709018496,1.0,0.16692231652861575,2.477018617505134,0.36828775929726354,0.0,1.7959313011792046,1.0
ENSG00000182606,TRAK1,0.035637961214971016,-0.627946316324044,0.8229532678955387,0.04901867554481601,0.5009292131233636,1.0,0.05564077217620525,1.4099044216465972,0.9233211999574467,0.16198604081902682,2.828352778871582,1.0
