Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000258525,AL049830.3,0.0009075045829259415,-5.454870357959502,0.34894708972365673,0.05564077217620525,5.869336040283894,0.3110199796086701,0.0,5.702821896787723,1.0
ENSG00000196792,STRN3,0.04900524747800084,-2.8434356458771552,0.302013439155618,0.3894854052334368,3.06198111822629,0.2811172035671995,0.16198604081902682,2.3335880871220045,1.0
ENSG00000100478,AP4S1,0.02813264207070419,-0.4548703579595026,1.0,0.0,0.8693360402838941,1.0,0.0,2.2877843975088794,1.0
ENSG00000092148,HECTD1,0.2314136686461151,-1.2622252800171065,0.4234704998717404,0.6120484939382578,1.4430712855817962,0.3962077492701479,0.32397208163805363,0.812050966542482,1.0
ENSG00000129493,HEATR5A,0.012705064160963182,-3.13294226307214,0.4044172469588502,0.1112815443524105,3.547407945396532,0.3570075285394405,0.0,3.2003215562585403,1.0
ENSG00000250365,AL139353.2,0.001815009165851883,-3.8699078572383456,1.0,0.0,4.284373539562738,1.0,0.0,5.702821896787723,1.0
ENSG00000129480,DTD2,0.0744153757999272,-1.887185848670182,0.3805316335875703,0.3338446330572315,2.3016515309945733,0.3196978344124129,0.0,0.8120509665424818,1.0
ENSG00000151413,NUBPL,0.03993020164874143,-2.7703721836874324,0.302013439155618,0.05564077217620525,1.2254798505091693,0.9414702413503095,0.809930204095134,4.349184942173023,0.20777565806445228
ENSG00000258474,LINC02313,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000258655,ARHGAP5-AS1,0.006352532080481591,-2.4548703579595026,1.0,0.0,2.869336040283894,1.0,0.0,4.287784397508879,1.0
ENSG00000100852,ARHGAP5,0.06624783455359373,-2.8303794930517094,0.24961331314143967,0.445126177409642,2.772474501031305,0.2811172035671995,0.4859581224570805,2.930232392890796,1.0
ENSG00000285608,AL161665.1,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000286527,AL161665.2,0.0027225137487778247,-3.4548703579595017,1.0,0.0,3.869336040283894,1.0,0.0,5.287784397508879,1.0
ENSG00000151320,AKAP6,0.0027225137487778247,-3.4548703579595017,1.0,0.0,3.869336040283894,1.0,0.0,5.287784397508879,1.0
ENSG00000129521,EGLN3,0.006352532080481591,-3.4548703579595026,0.525775716768982,0.0,2.699411038841582,1.0,0.16198604081902682,5.287784397508879,1.0
ENSG00000165389,SPTSSA,0.05354277039263055,0.4520202376490161,1.0,0.0,-0.037554555324623706,1.0,0.0,1.3808938019003616,1.0
ENSG00000129518,EAPP,0.3956719981557105,-0.005308983346266505,1.0,0.3894854052334368,0.09125891074853598,0.9114535847254147,0.32397208163805363,0.07833103187993018,1.0
ENSG00000129515,SNX6,0.5626528414140838,0.12313938211988662,1.0,0.6120484939382578,0.1735277708744476,0.8913578644155573,0.16198604081902682,-1.0159963506682232,1.0
ENSG00000165410,CFL2,0.03448517415118578,-1.169468139097254,0.9765183189649697,0.05564077217620525,1.5839338214216458,0.8834636369907684,0.0,1.9658563026215177,1.0
ENSG00000198604,BAZ1A,0.356649301089895,-1.476674728277851,0.3728864499667622,1.2240969878765156,1.7635413762612975,0.33040666479188946,0.32397208163805363,0.17230718008894375,1.0
ENSG00000258738,AL121603.2,0.02450262373900042,-0.647515435901898,1.0,0.0,1.0619811182262904,1.0,0.0,2.4804294754512757,1.0
ENSG00000100883,SRP54,0.1524607699315582,-1.3759190165646806,0.4248431801902553,0.3894854052334368,1.4514835253979963,0.43974294737699454,0.32397208163805363,1.4133152795927388,1.0
ENSG00000151327,FAM177A1,0.21507858615344816,-0.7299775960938715,0.6499479093706679,0.3894854052334368,0.9684692323031454,0.5850078242345922,0.16198604081902682,0.3511464585063093,1.0
ENSG00000092020,PPP2R3C,0.13975570577059498,-1.178745952685265,0.5176810114007232,0.3894854052334368,1.5932116350096566,0.4136347874371668,0.0,-0.052065605375744894,1.0
ENSG00000100890,PRORP,0.1878534486656699,-0.33939314053956604,0.9617587709145488,0.2782038608810263,0.753858822863958,0.7097124743704831,0.0,-0.44692522271695845,1.0
ENSG00000100902,PSMA6,0.4455847502166373,0.02821252874244018,1.0,0.3338446330572315,-0.2775053480453771,1.0,0.6479441632761073,0.6497105603281613,1.0
ENSG00000100906,NFKBIA,0.5671903643287135,-0.164851511026884,0.8791215731604528,0.6120484939382578,0.15509052261777145,0.8404907891629074,0.6479441632761073,0.29456293013994195,1.0
ENSG00000174373,RALGAPA1,0.13612568743889122,-1.9169053367755158,0.3359435859564986,0.667689266114463,2.3313710190999073,0.2811172035671995,0.0,-0.06094375672219776,1.0
ENSG00000258938,AL162311.3,0.001815009165851883,-3.8699078572383456,1.0,0.0,4.284373539562738,1.0,0.0,5.702821896787723,1.0
