Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSG00000166839,ANKDD1A,0.004454745151871377,-1.9719007175414047,0.5413716479675347,0.014705602663444802,1.5858181107098765,0.8522563459037337,0.056716314192397664,3.895931499885285,0.4624438230769397,0.0,4.117859396066567,1.0,0.0,6.544881744593397,1.0
ENSG00000274383,AC103691.1,0.023387412047324727,0.16560280620852996,1.0,0.019607470217926404,0.03327708768109883,1.0,0.0,1.1954917817441926,1.0,0.0,2.5873446793677877,1.0,0.0,5.014367027894617,1.0
ENSG00000090487,SPG21,0.24835204221682927,-0.16454579548380055,0.9790769916717411,0.28430831815993285,0.21421987269593035,1.0,0.22686525676959066,0.07320135194076505,0.9950150154417554,0.16198604081902682,0.12791306073049036,1.0,0.0,1.549899819360021,1.0
ENSG00000103707,MTFMT,0.07907172644571694,-0.12390381098645475,1.0,0.07842988087170562,0.029424762185491726,1.0,0.17014894257719299,1.4364998812479879,0.6020552583974577,0.0,0.7799897573101835,1.0,0.0,3.2070121058370122,1.0
ENSG00000246922,UBAP1L,0.0022273725759356885,-0.38693821682024954,1.0,0.0,0.5858181107098765,1.0,0.0,4.310968999164129,1.0,0.0,5.702821896787723,1.0,0.0,8.129844245314553,1.0
ENSG00000090470,PDCD7,0.3207416509347391,-0.3361338461487575,0.8229532678955387,0.39705127191300965,0.2995139255532355,1.0,0.6238794561163743,0.9495125400901292,0.551879006378955,0.0,-1.2858627899844421,1.0,0.0,1.141159558542387,1.0
ENSG00000166855,CLPX,0.11470968766068795,-0.48091436502926266,0.7562542911375768,0.16666349685237442,0.5721431738128002,0.8755574534174501,0.11343262838479533,0.37236954382827214,1.0,0.0,0.15850138056391305,1.0,0.0,2.5855237290907427,1.0
ENSG00000138615,CILP,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000138617,PARP16,0.11248231508475226,0.7936340288215722,0.6716899353178838,0.05882241065377921,-0.8292193885689669,0.8522563459037337,0.056716314192397664,0.05044144894090952,1.0,0.16198604081902682,1.4422943465645046,1.0,0.0,2.8568257509081367,1.0
ENSG00000074603,DPP8,0.08575384417352401,-0.8157815156241233,0.5802601065515867,0.12254668886204002,0.42827683372339687,1.0,0.510446827731579,2.5313590675894293,0.30268429571814753,0.0,0.4804294754512757,1.0,0.0,2.907451823978105,1.0
ENSG00000074696,HACD3,0.14143815857191622,-0.4954626735984182,0.6976307146992867,0.20587843728822725,0.5636223645956804,0.8522563459037337,0.11343262838479533,0.06304148572054302,1.0,0.16198604081902682,0.8615196428067815,1.0,0.0,2.280178518398984,1.0
ENSG00000138614,INTS14,0.07684435386978125,-0.5430574187375306,0.7523588298986599,0.10784108619859521,0.5045180086080285,1.0,0.11343262838479533,0.9417351894984098,0.8479443031558158,0.16198604081902682,1.7331955458312427,1.0,0.0,3.1449511377047608,1.0
ENSG00000074621,SLC24A1,0.005568431439839221,-1.7088663117076104,0.6147190586751968,0.019607470217926404,1.9077462055972392,0.7051534747473405,0.0,2.5740034049979226,1.0,0.0,3.9658563026215177,1.0,0.0,6.392878651148347,1.0
ENSG00000275638,AC011939.3,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000174485,DENND4A,0.0980043933411703,-0.6254503035199739,0.6716899353178838,0.13235042397100322,0.3931730327674807,1.0,0.3970141993467836,2.037950504757713,0.35847056459935134,0.0,0.34526989216964,1.0,0.0,2.772292240696469,1.0
ENSG00000103769,RAB11A,0.3129458469189642,-0.32420246147228604,0.8229532678955387,0.37254193414060166,0.2329960078767308,1.0,0.34029788515438597,0.1915337681755096,0.8999223078807717,1.1339022857331877,1.7799897573101835,1.0,0.0,1.1795313694149057,1.0
ENSG00000166938,DIS3L,0.07684435386978125,-0.597505202759907,0.688871328292943,0.11274295375307682,0.5659185532721716,0.9880731647801589,0.17014894257719299,1.3567726887772538,0.625993918501487,0.0,0.7028218967877233,1.0,0.0,3.1298442453145525,1.0
ENSG00000260773,AC055855.1,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000075131,TIPIN,0.041206392654810235,0.6910642951810244,0.8229532678955387,0.024509337772408005,-0.4921844012913965,1.0,0.0,0.4696667451831873,1.0,0.0,1.8615196428067815,1.0,0.0,4.288541991333611,1.0
ENSG00000169032,MAP2K1,0.1937814141064049,-0.49796952920899273,0.6716899353178838,0.2548971128330432,0.36731960547792,1.0,0.3970141993467836,1.0504414489409095,0.5641896090314651,0.4859581224570805,1.417419677925475,1.0,0.0,1.8260634971374499,1.0
ENSG00000261351,AC116913.1,0.0022273725759356885,-0.38693821682024954,1.0,0.0,0.5858181107098765,1.0,0.0,4.310968999164129,1.0,0.0,5.702821896787723,1.0,0.0,8.129844245314553,1.0
ENSG00000174446,SNAPC5,0.18487192380266215,0.054251570314563846,1.0,0.17156536440685602,-0.08555914182875313,1.0,0.22686525676959066,0.5525236775874711,0.824762575600992,0.16198604081902682,0.6012838703256613,1.0,0.0,2.0213197885363834,1.0
ENSG00000174444,RPL4,9.08211167837777,0.38965892964001014,0.8191802238070067,7.519464828574775,-0.2480114639184796,1.0,1.3611915406175439,-2.706656027457276,1.0,4.535609142932751,-1.1000843783872698,1.0,0.0,-3.5351955218047393,1.0
ENSG00000174442,ZWILCH,0.011136862879678442,-1.319824020961712,0.6716899353178838,0.024509337772408005,1.1707806114310326,0.9880731647801589,0.056716314192397664,2.895931499885285,0.5791647226653934,0.0,3.2003215562585403,1.0,0.0,5.62734390478537,1.0
ENSG00000166949,SMAD3,0.07127592242994203,-1.5642427486281587,0.03862448584418045,0.19117283462478243,1.283255340689446,0.23434171952957902,0.3970141993467836,2.168011045322086,0.3433633834349724,0.16198604081902682,1.4804294754512757,1.0,2.934092270820851,3.907451823978105,0.8374614191299555
ENSG00000103591,AAGAB,0.07016223614197419,-0.9719007175414052,0.4659963825827905,0.12254668886204002,0.7419373126271585,0.8522563459037337,0.34029788515438597,2.2275529909764917,0.3510544386872937,0.0,0.7179287891779316,1.0,0.0,3.1449511377047608,1.0
ENSG00000103599,IQCH,0.004454745151871377,0.350027377345957,1.0,0.0,-0.1511474834563291,1.0,0.0,3.5740034049979226,1.0,0.0,4.965856302621518,1.0,0.0,7.392878651148347,1.0
ENSG00000259673,IQCH-AS1,0.01336423545561413,-0.5933890942876747,0.9642235633469135,0.014705602663444802,0.3634256893734289,1.0,0.0,1.8084686586349452,1.0,0.16198604081902682,4.287784397508879,1.0,0.0,5.62734390478537,1.0
ENSG00000189227,C15orf61,0.236101493049183,-0.16792843487845288,0.9724866701839521,0.2892101857144144,0.3362042206384046,1.0,0.0,-2.1968256410345672,1.0,0.16198604081902682,0.2003215562585403,1.0,0.0,1.6220496051158566,1.0
ENSG00000270964,AC016355.1,0.005568431439839221,-0.38693821682024865,1.0,0.004901867554481601,0.5858181107098765,1.0,0.0,3.0885765778276806,1.0,0.0,4.480429475451276,1.0,0.0,6.907451823978105,1.0
ENSG00000137764,MAP2K5,0.13586972713207698,-0.15866922914713166,1.0,0.1274485564165216,-0.10775488794294885,1.0,0.4537305135391813,1.846687980865436,0.36767809342521357,0.0,-0.006836351382747186,1.0,0.0,2.420185997144082,1.0
ENSG00000188779,SKOR1,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000033800,PIAS1,0.28287631714383243,-0.5321361323601843,0.6716899353178838,0.33332699370474883,0.1500220512642354,1.0,1.3611915406175439,2.199937686775385,0.30268429571814753,0.16198604081902682,-0.15100745506938118,1.0,0.0,1.2718632501869807,1.0
