Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000158109,TPRG1L,0.17778240130975773,0.7600205797957158,1.0,0.05564077217620525,-0.7600205797957158,1.0
ENSG00000116213,WRAP73,0.1416844518052384,-1.565555292106791,0.41575692498618183,0.3894854052334368,1.565555292106791,0.41575692498618183
ENSG00000235169,SMIM1,0.01804897475225967,-1.4770186175051343,1.0,0.0,1.4770186175051343,1.0
ENSG00000130764,LRRC47,0.18770933742350054,-0.9693318302606153,0.6048358776609545,0.3338446330572315,0.9693318302606153,0.6048358776609545
ENSG00000272153,AL365330.1,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000116198,CEP104,0.08392773259800745,-2.122102110663861,0.3351852220649609,0.3338446330572315,2.122102110663861,0.3351852220649609
ENSG00000169598,DFFB,0.029780808341228454,-1.7818731990335546,0.8086741801226273,0.05564077217620525,1.7818731990335546,0.8086741801226273
ENSG00000198912,C1orf174,0.12363547705297873,-1.0827396783930876,0.638783413734534,0.222563088704821,1.0827396783930876,0.638783413734534
ENSG00000196581,AJAP1,0.006317141163290884,-3.8693360402838937,0.41819368954297975,0.05564077217620525,3.8693360402838937,0.41819368954297975
ENSG00000236948,AL365255.1,0.0018048974752259668,-4.284373539562738,1.0,0.0,4.284373539562738,1.0
ENSG00000131697,NPHP4,0.006317141163290884,-4.45429854100505,0.31287897730872694,0.1112815443524105,4.45429854100505,0.31287897730872694
ENSG00000069424,KCNAB2,0.30773501952602733,-0.6214085268403089,0.6944265750350265,0.445126177409642,0.6214085268403089,0.6944265750350265
ENSG00000116251,RPL22,13.13062913226891,3.3156384535155246,0.9483977154538412,1.335378532228926,-3.3156384535155246,0.9483977154538412
ENSG00000158286,RNF207,0.0,-7.45429854100505,0.2811172035671995,0.1112815443524105,7.45429854100505,0.2811172035671995
ENSG00000116237,ICMT,0.043317539405423204,-2.254626196168686,0.39665888764994967,0.16692231652861575,2.254626196168686,0.39665888764994967
ENSG00000225077,LINC00337,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000158292,GPR153,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000097021,ACOT7,0.027975910866002488,-3.1912641351712563,0.3110199796086701,0.222563088704821,3.1912641351712563,0.3110199796086701
ENSG00000271746,AL031848.2,0.007219589900903867,-2.699411038841582,1.0,0.0,2.699411038841582,1.0
ENSG00000069812,HES2,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000187017,ESPN,0.0045122436880649175,-3.284373539562738,1.0,0.0,3.284373539562738,1.0
ENSG00000215788,TNFRSF25,0.4277607016285542,-1.3698697598443441,0.37624649941021,1.112815443524105,1.3698697598443441,0.37624649941021
ENSG00000171680,PLEKHG5,0.0162440772770337,-3.2063710275614645,0.36952243755806435,0.1112815443524105,3.2063710275614645,0.36952243755806435
ENSG00000162408,NOL9,0.14890404170614227,-1.4942966089369691,0.4434343303436565,0.3894854052334368,1.4942966089369691,0.4434343303436565
ENSG00000204859,ZBTB48,0.07490324522187762,-1.7989467123924965,0.4494667753160169,0.222563088704821,1.7989467123924965,0.4494667753160169
ENSG00000162413,KLHL21,0.06407386037052182,-0.6994110388415815,1.0,0.05564077217620525,0.6994110388415815,1.0
ENSG00000116273,PHF13,0.0379028469797453,-0.4430712855817962,1.0,0.0,0.4430712855817962,1.0
ENSG00000041988,THAP3,0.07219589900903868,0.4705139626007302,1.0,0.0,-0.4705139626007302,1.0
ENSG00000007923,DNAJC11,0.0712934502714257,-2.7173329468388445,0.2811172035671995,0.445126177409642,2.7173329468388445,0.2811172035671995
ENSG00000237436,CAMTA1-DT,0.015341628539420718,-3.2843735395627376,0.37059113289454076,0.1112815443524105,3.2843735395627376,0.37059113289454076
ENSG00000171735,CAMTA1,0.18409954247304863,-0.7748184414996042,0.7020465623926669,0.2782038608810263,0.7748184414996042,0.7020465623926669
ENSG00000049245,VAMP3,0.07851304017232956,-0.4099044216465968,1.0,0.05564077217620525,0.4099044216465968,1.0
ENSG00000049246,PER3,0.030683257078841435,-1.7400530233389273,0.8029643510537839,0.05564077217620525,1.7400530233389273,0.8029643510537839
ENSG00000236266,Z98884.1,0.0036097949504519337,-3.5474079453965324,1.0,0.0,3.5474079453965324,1.0
